epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.002673318943067838,0.0026733202,29.02101,0.739928,0.0010346049881451924,0.001034605,31.367546,0.86689603
1,0.0009407261435092054,0.00094072684,32.413956,0.8967352,0.0008986414845560506,0.000898724,33.486565,0.91644794
2,0.0008273481627858708,0.0008273485,33.161083,0.9309695,0.0007847723817545118,0.0007853666,33.201008,0.94908494
3,0.0007857814378502693,0.0007857817,33.617947,0.9389522,0.0012332414082537844,0.001234263,30.248808,0.9068556
4,0.0006986241881551796,0.0006986242,34.258163,0.9489457,0.000562914169457709,0.00056329684,35.632305,0.9553804
5,0.0006520750054017522,0.0006520749,34.75443,0.95244724,0.0006470552634082509,0.0006465931,34.987812,0.9472905
6,0.0006160524859566567,0.0006160527,35.028778,0.9548575,0.000619329901801184,0.00061831926,36.20528,0.9536174
7,0.0005407068498655362,0.00054070615,35.82162,0.95744175,0.00048541116681091766,0.00048572378,37.25886,0.9499818
8,0.0005106589882766897,0.0005106588,36.21437,0.9582072,0.0004804240770054407,0.00048130023,37.29938,0.95414543
9,0.0004958441111751761,0.0004958441,36.544884,0.9581702,0.0004416211493495295,0.0004415885,37.743706,0.95848274
10,0.0004850811062447025,0.00048508123,36.588665,0.95793813,0.0004552636286273904,0.00045567565,37.68094,0.95829594
11,0.00048078864127989296,0.00048078937,36.725704,0.9589816,0.0004686357059309275,0.00046863843,37.856495,0.9589791
12,0.00047259964086060095,0.00047260002,36.837,0.95934737,0.00045037567540658665,0.00045078245,37.889454,0.9606381
