epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.2532294676106632,0.020586316,21.243042,0.74677086,0.5202309049066456,0.08955473,10.690861,0.47976908
1,0.13419667892890647,0.0029137626,25.890799,0.86580414,0.18087694442820276,0.0039017338,25.468582,0.81917495
2,0.11446391208894927,0.002490145,26.649675,0.88553596,0.4848882833431507,0.06502373,11.960042,0.5151709
3,0.1038319699897296,0.002255189,27.09302,0.89616776,0.15228091180324554,0.0037291124,25.865595,0.8477192
4,0.09940801949321287,0.0021624563,27.305294,0.9005917,0.3610991198441078,0.037739795,14.942627,0.63880885
5,0.09636981727651683,0.0020805793,27.471804,0.90363145,0.09906359804772782,0.0022049928,27.285824,0.9009399
6,0.09356559013748111,0.0020196498,27.603275,0.90643424,0.10392931891583848,0.0029665697,26.453676,0.8961219
7,0.09042156576099082,0.0019757338,27.725527,0.9095792,0.1343791200511757,0.0052625113,23.684921,0.86563665
8,0.08669332421298914,0.0018488826,27.98884,0.91330665,0.09193531243965544,0.0025225068,27.633905,0.9080821
9,0.08593445891610993,0.0018280675,28.033117,0.9140663,0.091473705124581,0.0026851697,27.422316,0.9085531
10,0.08556783287054216,0.0018258578,28.050623,0.9144324,0.09823831813088779,0.003025188,26.064148,0.9017515
11,0.08521946210043896,0.0018173545,28.076916,0.91478026,0.091118102614907,0.0024922932,26.58586,0.9088717
12,0.08441835029467393,0.0018047359,28.106081,0.91558194,0.08554129610801565,0.0017942892,28.034472,0.91444695
13,0.08405096249589634,0.0017931863,28.135744,0.91594905,0.09917303611492288,0.0022668284,27.431475,0.9007941
14,0.0837546346522152,0.0017781445,28.18854,0.9162455,0.08926100429447217,0.0026198071,27.432327,0.9107481
15,0.08309335059086473,0.0017586341,28.217556,0.9169062,0.08451017668877525,0.0020153748,28.042297,0.91546285
16,0.08277037227007311,0.001742841,28.24352,0.9172304,0.08474741619208763,0.0019151672,28.278948,0.9152749
17,0.08285542857429737,0.0017391994,28.268282,0.9171448,0.08374811606160526,0.0015545773,28.684391,0.91622907
18,0.08273376318522271,0.0017437176,28.25063,0.9172671,0.08546958726713028,0.0021609303,28.062393,0.9145276
19,0.0826143122575487,0.0017393503,28.259165,0.917386,0.08417874420511312,0.001854302,28.280075,0.91580236
20,0.0825827204331797,0.0017427639,28.264881,0.91741675,0.08420471281840883,0.0019296657,28.356586,0.91576236
