epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.0045273509989376464,0.0045273467,27.022526,0.66351074,0.0012540846108659652,0.0012540839,30.912907,0.7450727
1,0.0012398590071959266,0.0012398605,30.87657,0.81165564,0.0009308778371423718,0.0009313624,32.50888,0.86279184
2,0.0009344508228448378,0.0009344505,32.362534,0.9046769,0.0009237420402304001,0.00092449464,32.684963,0.8708089
3,0.0008653899096923192,0.0008653892,32.966515,0.92765814,0.0007541746377557564,0.0007532714,34.661545,0.92128813
4,0.000794694132386237,0.00079469394,33.554535,0.9389687,0.0010340314514195044,0.0010342387,32.786446,0.89315224
5,0.0007753800312662574,0.00077537994,33.72087,0.9431935,0.0008330388513916231,0.0008344557,33.855278,0.89224166
6,0.0006865231238816842,0.00068652304,34.332104,0.9469231,0.0006525854399208991,0.0006515479,35.553173,0.9481241
7,0.0006761171086121842,0.0006761163,34.49023,0.94651866,0.0006072304443467606,0.00060615817,35.853916,0.94566
8,0.0006700963540381465,0.00067009573,34.51661,0.94628763,0.0005890878504336191,0.0005897992,36.110302,0.95166606
9,0.0006254192723890256,0.0006254194,34.91136,0.9469491,0.000559095938418371,0.0005581453,36.257877,0.942299
10,0.0006232929405222384,0.00062329276,34.98664,0.9467758,0.0005703472983148605,0.0005712326,36.149773,0.9489473
11,0.0006168020344908435,0.00061680155,35.085117,0.9463033,0.0005655248517740248,0.0005664481,36.348396,0.9493568
12,0.0006198845513441074,0.00061988406,35.052567,0.946892,0.0005610263161679018,0.00056179555,36.237522,0.9507104
