epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.08119007731151116,0.014551665,26.862034,0.9188101,0.3850443972938362,0.17277335,7.967168,0.61495596
1,0.036861745366364905,0.0010231669,32.525757,0.96313924,0.3817129446857277,0.15864864,8.222025,0.61831367
2,0.03236256175752401,0.00089335954,33.265736,0.96763706,0.10983090222566977,0.0021953222,32.170414,0.8901312
3,0.029653966884840854,0.00084088236,33.66246,0.9703457,0.06000588234813734,0.001627647,32.418915,0.93997645
4,0.028542601376145022,0.0008092107,33.834217,0.97145736,0.027290492050949185,0.0007038474,35.248337,0.9727145
5,0.02726654735196108,0.00075744744,34.132404,0.9727332,0.10345742277715397,0.008853074,24.957117,0.8965589
6,0.026297870662776564,0.00072175614,34.349102,0.973702,0.04682680347870136,0.0019508335,33.846504,0.9532288
7,0.02454630463114887,0.0006637445,34.816593,0.9754546,0.024061415216018414,0.0006012902,36.367104,0.9759565
8,0.023883486144136126,0.0006313841,35.09141,0.97611594,0.022980700450382013,0.0005124537,37.187496,0.9770007
9,0.023236478516381585,0.000604731,35.289845,0.9767647,0.031903932834493706,0.0013988413,35.512794,0.96809685
10,0.02332092143396548,0.00060611067,35.37462,0.97667867,0.029248785869828587,0.0012404735,35.81516,0.97072244
11,0.023160299499725315,0.0005804511,35.586197,0.976839,0.02303785239828044,0.0005749976,37.117294,0.9769262
