epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.09688726912304722,0.025017163,24.553608,0.9031134,0.08836086985023542,0.01616324,23.306252,0.91163915
1,0.04075600365958656,0.0023649863,31.211666,0.95924324,0.037579502353723024,0.0010690659,32.08292,0.96238106
2,0.03345499190286937,0.00095328124,33.085632,0.9665454,0.22067490665391945,0.031616386,18.07537,0.7792709
3,0.03067202830651101,0.00089037506,33.55118,0.9693281,0.03292938553053757,0.0009018424,34.333656,0.9670891
4,0.02937929734529287,0.00083206344,33.887764,0.9706206,0.04238177150830455,0.0013499059,34.804443,0.957606
5,0.02847062415705551,0.00082636037,33.91803,0.97152877,0.026593767363449622,0.0007294166,35.301895,0.97339076
6,0.027084961508039497,0.00077843864,34.355995,0.9729148,0.043832544965305545,0.0014780115,31.982565,0.95613843
7,0.026576058284350033,0.0007612675,34.39271,0.97342336,0.055284691439277826,0.0015704266,32.317993,0.94467974
8,0.02455576262471702,0.00065996096,35.227802,0.9754437,0.02639453010312442,0.00074704067,36.24318,0.9735596
9,0.024220335190617854,0.00065074523,35.30151,0.9757796,0.02435780376538463,0.0006068644,36.611866,0.97562695
10,0.023907014300549416,0.00063526497,35.425495,0.9760925,0.026738089905388052,0.000860248,35.453644,0.9732283
11,0.023967367901980362,0.0006393719,35.453808,0.9760322,0.024607043841789508,0.00059677265,36.735065,0.97536427
12,0.0234457796404173,0.00060644164,35.771313,0.97655445,0.023193098347762536,0.00055154273,36.843708,0.9768049
13,0.02309352559449125,0.00060026126,35.850784,0.9769068,0.022960351116355807,0.0005762654,36.947723,0.9770426
14,0.023219711039871565,0.0006020689,35.863865,0.97678125,0.022841620548018093,0.000550155,37.111988,0.9771477
15,0.5872947450842998,0.033197027,15.227908,0.41270545,0.5474372877814304,0.026619999,16.04729,0.4524949
16,0.06250208957029589,0.0019640187,31.356962,0.9374984,0.03545703713236184,0.0008636446,34.753265,0.96456116
17,0.034775209073636945,0.00086251437,33.812214,0.96522415,0.03294574923213871,0.0007472211,35.29148,0.9671487
