epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.009048551908771251,0.009048566,21.429539,0.3797401,0.006509046502486299,0.0065090493,22.143333,0.5108155
1,0.004878455820874623,0.0048784562,23.39654,0.58102804,0.005326279093800434,0.0053262883,22.999676,0.631923
2,0.004312884764448038,0.0043128887,23.940607,0.6579262,0.004730484605600907,0.004732386,23.497263,0.67853105
3,0.004009870554942352,0.004009869,24.264498,0.690582,0.004856837831100385,0.004858113,23.378918,0.6898765
4,0.0038267961667849976,0.0038267958,24.471582,0.7088526,0.0039051544348088405,0.0039044998,24.340351,0.70436215
5,0.0036829938844545355,0.0036829924,24.641937,0.72126365,0.004738669861215113,0.004738953,23.455196,0.7198644
6,0.0035715496352891067,0.0035715485,24.776642,0.72954535,0.004214426117210552,0.004214755,24.02196,0.7302945
7,0.003347229053157198,0.0033472306,25.07042,0.74003386,0.0034423389923009464,0.0034431722,24.896187,0.7313912
8,0.0033240201797994843,0.0033240193,25.099714,0.74222994,0.00335616278850163,0.0033561587,25.003563,0.7367521
9,0.0032972116835273376,0.0032972158,25.138271,0.74428236,0.0033399739326780728,0.0033401255,25.026333,0.74343145
10,0.0032852707686356667,0.00328527,25.15482,0.7456008,0.0033206689297275126,0.0033211268,25.067055,0.740878
11,0.0032628163479022265,0.0032628172,25.187876,0.7474044,0.003310417627979969,0.0033090562,25.06954,0.7452402
12,0.0032068718141299458,0.0032068703,25.264317,0.7498697,0.0032571806336870826,0.0032568201,25.143192,0.7461773
13,0.0031979916081770004,0.003197991,25.275045,0.7502125,0.0032372462961972616,0.0032369231,25.165312,0.7468667
14,0.0031990302991827843,0.0031990316,25.274193,0.75054556,0.0032320662332035004,0.0032330742,25.171057,0.74800515
15,0.003190601303234814,0.0031906017,25.285374,0.7510663,0.003227608646373211,0.0032285494,25.18259,0.74826515
16,0.003174578961641891,0.0031745804,25.305939,0.7515857,0.003231340718198696,0.0032311494,25.170202,0.7462298
17,0.025481146838364513,0.02548115,16.23286,0.33298355,0.02211033858508728,0.022118753,16.771246,0.33286172
18,0.010956023452054793,0.010956024,20.260227,0.4815454,0.0053422417486322,0.0053432914,22.950298,0.6051659
