epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.0861539345080545,0.020058367,26.127985,0.91384584,0.12083484609236662,0.002334803,31.072426,0.8791655
1,0.038456981277052264,0.0016352516,32.180138,0.96154374,0.03963899612426758,0.0010735213,33.546787,0.9604083
2,0.03215507495543408,0.0008693233,33.521465,0.967845,0.030906763398784332,0.0007929643,33.706024,0.9690811
3,0.029369394492348475,0.0008071985,33.967747,0.97063017,0.031186117694295686,0.000786688,35.737354,0.96878153
4,0.027800568885314215,0.0007791926,34.126965,0.9722002,0.027419439848812146,0.0006522481,36.21848,0.9725783
5,0.026574798102630786,0.00073209923,34.466106,0.9734247,0.026610247533896875,0.00061749073,35.540215,0.97336876
6,0.02545920486543426,0.0006952363,34.676094,0.97454166,0.05423451668914707,0.0018565089,35.306435,0.9457389
7,0.024771088016886125,0.00067241973,34.95003,0.9752291,0.030370393361168348,0.0015425532,30.521152,0.9696461
8,0.022519520095957386,0.0005925393,35.599857,0.97748023,0.022237976392110188,0.000542548,35.922405,0.9777407
9,0.02239230461184815,0.0005710531,35.760464,0.97760737,0.02259679104404888,0.0005601291,37.58299,0.977371
10,0.02213678081245383,0.00056491233,35.878426,0.9778621,0.022251835499686755,0.0004794841,37.507,0.9777452
11,0.021636916345539506,0.00054353103,36.08766,0.97836196,0.021072070488984556,0.0004650367,38.12979,0.9789315
12,0.0214572466427804,0.00052522693,36.412323,0.97854227,0.021317325960630656,0.0005201166,37.913635,0.9786756
13,0.02109078427248771,0.00052051287,36.509773,0.97890884,0.021218786636988323,0.0005019839,38.176315,0.9788082
14,0.021295757769196098,0.0005226647,36.53088,0.9787043,0.021684254380478257,0.00047209582,38.061203,0.9782811
