epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.09346919349075233,0.026281515,25.347498,0.9065308,0.08253223354789033,0.0022286593,31.729628,0.91746765
1,0.04077938549905565,0.0021199847,31.395721,0.95922124,0.10672951104312108,0.0019735494,32.225086,0.8932498
2,0.03486262113190336,0.0009825231,32.87082,0.9651379,0.04042755152987337,0.0013812456,31.721453,0.95957816
3,0.03161709409246358,0.0008816224,33.40897,0.9683827,0.0792934507474132,0.0020608075,31.260265,0.92066735
4,0.03034223804251139,0.00084996904,33.73558,0.9696583,0.12052512871122908,0.0021792836,31.64333,0.87943673
5,0.02762620082854354,0.00072469277,34.630543,0.97237414,0.028486127654711407,0.0006777073,36.211216,0.9714657
6,0.027340332469779117,0.00072056113,34.66974,0.97265935,0.02830565061377383,0.00074108044,36.092407,0.971763
7,0.026740116433503443,0.00069286017,34.87304,0.97325975,0.02717688320011928,0.0006298177,36.458214,0.97281337
8,0.026680371838319006,0.0006971628,34.873966,0.9733189,0.033823496137542285,0.0012496922,35.22105,0.96617365
9,0.026308265867907656,0.0006839073,35.050377,0.97369236,0.025467939246659993,0.0005832516,36.75703,0.9745284
10,0.026350028901025974,0.0006812294,35.03282,0.9736498,0.036404949495162084,0.0014284734,35.485004,0.9636765
11,0.025959492210400663,0.0006624952,35.214714,0.97404045,0.03260990925903978,0.0011934596,35.112206,0.9673717
12,0.02561830919953115,0.0006348497,35.49433,0.97438216,0.025556044674467766,0.0005814558,37.043034,0.9744353
