epoch,loss,mean_squared_error,psnr,ssim,val_loss,val_mean_squared_error,val_psnr,val_ssim
0,0.35614590386694656,0.03145458,18.70352,0.6438539,0.5702017019877489,0.064216256,12.20893,0.4297983
1,0.26382258182208795,0.0066305166,22.220394,0.73617715,0.26745224307323323,0.006123039,22.443867,0.73245203
2,0.23781203949291377,0.005424493,23.018124,0.7621869,0.261406303308476,0.005724149,22.720135,0.7385824
3,0.22372844704724087,0.005012233,23.35883,0.77627087,0.2286430898754076,0.0066005667,22.040873,0.7713712
4,0.21305094916041759,0.004736245,23.597876,0.7869487,0.27069867719178914,0.0061443234,22.643465,0.72928655
5,0.20518940484030865,0.004489718,23.835672,0.79481006,0.24209143855105872,0.005175842,23.512575,0.75788957
6,0.19617212456482225,0.004176554,24.158312,0.80382776,0.20566914941387615,0.0045636613,23.731388,0.79425776
7,0.19463848099104009,0.004137924,24.201555,0.80536216,0.20579107277009678,0.004324976,24.020311,0.79418755
8,0.19323926091878874,0.0040980903,24.244223,0.8067609,0.19888592759768167,0.0037117763,24.612803,0.80115336
9,0.19403837092084464,0.0042593195,24.102901,0.80596143,0.19809804171666331,0.0050107497,23.302418,0.8019442
10,0.1912144575754221,0.0040615327,24.284155,0.8087858,0.1964625327408999,0.004027376,24.253096,0.8036351
11,0.1904520340406399,0.004102818,24.23767,0.80954784,0.19849538631822872,0.0042425627,24.035892,0.80156344
12,0.1894887316888553,0.0040284395,24.316603,0.81051135,0.20251536386451502,0.0042809807,24.117409,0.79750556
13,0.18762955650080151,0.0039424994,24.42172,0.8123698,0.19096444118982073,0.0039934088,24.309143,0.80903184
14,0.18730587369160717,0.003940294,24.423891,0.8126929,0.1926753668264411,0.0037624536,24.573978,0.8073186
15,0.18709051415413203,0.003928677,24.43651,0.8129093,0.19080784677088947,0.0037259054,24.609938,0.80918
16,0.18673691915447296,0.0039143437,24.447294,0.81326365,0.19040550805371384,0.003896841,24.42729,0.80955267
17,0.186665436015241,0.0039555267,24.396688,0.81333405,0.19020016217368774,0.003876943,24.450527,0.8097933
18,0.18641483244561646,0.0039064754,24.461388,0.81358486,0.1902455709788991,0.0038698225,24.46809,0.80977327
19,0.18615818225923428,0.0039037638,24.459295,0.81384206,0.19009533935579762,0.0037657432,24.55669,0.80993295
20,0.18589080684857687,0.0038830496,24.487293,0.8141095,0.19034429596758437,0.0038206251,24.511309,0.80964166
21,0.18579310398456592,0.0038845644,24.486807,0.81420624,0.18999174528423396,0.003773186,24.573832,0.81001467
22,0.18567916958251074,0.0039043836,24.458586,0.81432146,0.18974343319048828,0.0037847504,24.545242,0.8102578
23,0.1861139398098373,0.0040633692,24.26398,0.81388557,0.18851856322124086,0.003893507,24.413836,0.81149125
24,0.1855341655117293,0.0039155213,24.447746,0.81446636,0.18874165689808198,0.0038854738,24.425974,0.81126976
25,0.1852851198386972,0.0038765932,24.49269,0.8147148,0.18987270521706548,0.003855185,24.472618,0.81015897
26,0.18480055621670735,0.003855182,24.516739,0.8151999,0.1887145878254682,0.0038479012,24.478985,0.81124544
